signature	owner	prokind	security_definer	acl	config
vector_cmp(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_combine(double precision[],double precision[])	postgres	f	f	[NULL]	[NULL]
vector_dims(vector)	postgres	f	f	[NULL]	[NULL]
vector_eq(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_ge(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_gt(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_in(cstring,oid,integer)	postgres	f	f	[NULL]	[NULL]
vector_l2_squared_distance(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_le(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_lt(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_mul(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_negative_inner_product(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_ne(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_norm(vector)	postgres	f	f	[NULL]	[NULL]
vector_out(vector)	postgres	f	f	[NULL]	[NULL]
vector_recv(internal,oid,integer)	postgres	f	f	[NULL]	[NULL]
vector_send(vector)	postgres	f	f	[NULL]	[NULL]
vector_spherical_distance(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_sub(vector,vector)	postgres	f	f	[NULL]	[NULL]
vector_to_float4(vector,integer,boolean)	postgres	f	f	[NULL]	[NULL]
vector_typmod_in(cstring[])	postgres	f	f	[NULL]	[NULL]
vector(vector,integer,boolean)	postgres	f	f	[NULL]	[NULL]
word_similarity_commutator_op(text,text)	postgres	f	f	[NULL]	[NULL]
word_similarity_dist_commutator_op(text,text)	postgres	f	f	[NULL]	[NULL]
word_similarity_dist_op(text,text)	postgres	f	f	[NULL]	[NULL]
word_similarity_op(text,text)	postgres	f	f	[NULL]	[NULL]
word_similarity(text,text)	postgres	f	f	[NULL]	[NULL]
