trigger_name	table_name	function_signature	enabled	tgtype	tgnargs	tgargs_hex	constraint_deferrable	constraint_deferred	definition
chunk_search_vector_trigger	content_chunks	update_chunk_search_vector()	O	23	0		f	f	CREATE TRIGGER chunk_search_vector_trigger BEFORE INSERT OR UPDATE OF chunk_text, doc_comment, symbol_name_qualified ON content_chunks FOR EACH ROW EXECUTE FUNCTION update_chunk_search_vector()
minion_job_notify	minion_jobs	notify_minion_job_change()	O	21	0		f	f	CREATE TRIGGER minion_job_notify AFTER INSERT OR UPDATE OF status ON minion_jobs FOR EACH ROW EXECUTE FUNCTION notify_minion_job_change()
bump_page_generation_clock_trg	pages	bump_page_generation_clock_fn()	O	28	0		f	f	CREATE TRIGGER bump_page_generation_clock_trg AFTER INSERT OR DELETE OR UPDATE ON pages FOR EACH STATEMENT EXECUTE FUNCTION bump_page_generation_clock_fn()
bump_page_generation_trg	pages	bump_page_generation_fn()	O	23	0		f	f	CREATE TRIGGER bump_page_generation_trg BEFORE INSERT OR UPDATE ON pages FOR EACH ROW EXECUTE FUNCTION bump_page_generation_fn()
trg_pages_search_vector	pages	update_page_search_vector()	O	23	0		f	f	CREATE TRIGGER trg_pages_search_vector BEFORE INSERT OR UPDATE ON pages FOR EACH ROW EXECUTE FUNCTION update_page_search_vector()
portal_acl_audit_append_only_guard	portal_acl_audit	portal_acl_audit_append_only()	O	27	0		f	f	CREATE TRIGGER portal_acl_audit_append_only_guard BEFORE DELETE OR UPDATE ON portal_acl_audit FOR EACH ROW EXECUTE FUNCTION portal_acl_audit_append_only()
portal_source_grants_personal_guard	portal_source_grants	portal_acl_guard_personal_grant()	O	27	0		f	f	CREATE TRIGGER portal_source_grants_personal_guard BEFORE DELETE OR UPDATE ON portal_source_grants FOR EACH ROW EXECUTE FUNCTION portal_acl_guard_personal_grant()
portal_users_identity_guard	portal_users	portal_acl_guard_user_identity()	O	19	0		f	f	CREATE TRIGGER portal_users_identity_guard BEFORE UPDATE OF keycloak_sub, personal_source_id ON portal_users FOR EACH ROW EXECUTE FUNCTION portal_acl_guard_user_identity()
