extension	class_name	object_type	schema_name	object_name	object_identity
vector	pg_proc	function	public	[NULL]	public.hnswhandler(pg_catalog.internal)
vector	pg_proc	function	public	[NULL]	public.inner_product(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.ivfflathandler(pg_catalog.internal)
vector	pg_proc	function	public	[NULL]	public.l1_distance(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.l2_distance(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_accum(double precision[],public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_add(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_avg(double precision[])
vector	pg_proc	function	public	[NULL]	public.vector_cmp(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_combine(double precision[],double precision[])
vector	pg_proc	function	public	[NULL]	public.vector_dims(public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_eq(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_ge(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_gt(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_in(pg_catalog.cstring,pg_catalog.oid,integer)
vector	pg_proc	function	public	[NULL]	public.vector_l2_squared_distance(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_le(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_lt(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_mul(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_negative_inner_product(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_ne(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_norm(public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_out(public.vector)
vector	pg_proc	function	public	[NULL]	public.vector(public.vector,integer,boolean)
vector	pg_proc	function	public	[NULL]	public.vector_recv(pg_catalog.internal,pg_catalog.oid,integer)
vector	pg_proc	function	public	[NULL]	public.vector_send(public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_spherical_distance(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_sub(public.vector,public.vector)
vector	pg_proc	function	public	[NULL]	public.vector_to_float4(public.vector,integer,boolean)
vector	pg_proc	function	public	[NULL]	public.vector_typmod_in(pg_catalog.cstring[])
vector	pg_type	type	public	vector	public.vector
