signature	owner	extension	security_definer	acl
vector_cmp(vector,vector)	postgres	vector	f	[NULL]
vector_combine(double precision[],double precision[])	postgres	vector	f	[NULL]
vector_dims(vector)	postgres	vector	f	[NULL]
vector_eq(vector,vector)	postgres	vector	f	[NULL]
vector_ge(vector,vector)	postgres	vector	f	[NULL]
vector_gt(vector,vector)	postgres	vector	f	[NULL]
vector_in(cstring,oid,integer)	postgres	vector	f	[NULL]
vector_l2_squared_distance(vector,vector)	postgres	vector	f	[NULL]
vector_le(vector,vector)	postgres	vector	f	[NULL]
vector_lt(vector,vector)	postgres	vector	f	[NULL]
vector_mul(vector,vector)	postgres	vector	f	[NULL]
vector_negative_inner_product(vector,vector)	postgres	vector	f	[NULL]
vector_ne(vector,vector)	postgres	vector	f	[NULL]
vector_norm(vector)	postgres	vector	f	[NULL]
vector_out(vector)	postgres	vector	f	[NULL]
vector_recv(internal,oid,integer)	postgres	vector	f	[NULL]
vector_send(vector)	postgres	vector	f	[NULL]
vector_spherical_distance(vector,vector)	postgres	vector	f	[NULL]
vector_sub(vector,vector)	postgres	vector	f	[NULL]
vector_to_float4(vector,integer,boolean)	postgres	vector	f	[NULL]
vector_typmod_in(cstring[])	postgres	vector	f	[NULL]
vector(vector,integer,boolean)	postgres	vector	f	[NULL]
