trigger_name	table_name	function_signature	enabled
chunk_search_vector_trigger	content_chunks	update_chunk_search_vector()	O
minion_job_notify	minion_jobs	notify_minion_job_change()	O
bump_page_generation_clock_trg	pages	bump_page_generation_clock_fn()	O
bump_page_generation_trg	pages	bump_page_generation_fn()	O
trg_pages_search_vector	pages	update_page_search_vector()	O
portal_acl_audit_append_only_guard	portal_acl_audit	portal_acl_audit_append_only()	O
portal_source_grants_personal_guard	portal_source_grants	portal_acl_guard_personal_grant()	O
portal_users_identity_guard	portal_users	portal_acl_guard_user_identity()	O
